"StationName,CliftonSchool_1"
"Type,Network,Trunk,Device,Address,DeviceType,PointFolder,PointName,PointType,Value,Status"
"Device,BacnetNetwork,MstpTrunk1,RTU1_Cafe,1000:15,device:100021 config,,,,,"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,SpaceTemp,control:NumericPoint,68.54 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,SpaceCO2,control:NumericPoint,391.20 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,RATemp,control:NumericPoint,65.66 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,SpaceRH,control:NumericPoint,30.87 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,DischAirTemp,control:NumericPoint,64.37 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,OutdoorTemp,control:NumericPoint,58.91 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,DischLn1Temp,control:NumericPoint,81.05 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,SucnRefTemp,control:NumericPoint,80.10 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,RefSuctionP,control:NumericPoint,151.36 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,EFT_LCT,control:NumericPoint,64.47 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,BldgStatPress,control:NumericPoint,-0.01 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,ERWheelSpd,control:NumericPoint,0.00 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,ERLAT,control:NumericPoint,57.75 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,EREAT,control:NumericPoint,56.81 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,FanSpd,control:NumericPoint,60.00 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,EconCapacity,control:NumericPoint,30.00 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,HtgCapacity,control:NumericPoint,0.00 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,ClgCapacity,control:NumericPoint,0.00 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,SpaceDewPt,control:NumericPoint,34.09 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,RefDischP,control:NumericPoint,168.52 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,ExpValveProb,control:BooleanPoint,false {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,HiPress1Prb,control:BooleanPoint,false {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,ChargeLossPrb,control:BooleanPoint,false {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,LoPress1Prb,control:BooleanPoint,false {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,LoChargePrb,control:BooleanPoint,false {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,HiDLTempPrb,control:BooleanPoint,false {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,INVCompPrb,control:BooleanPoint,false {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,OAFanPrb,control:BooleanPoint,false {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,LoPressDiffPrb,control:BooleanPoint,false {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,ExhFanState,control:BooleanPoint,true {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,DirtyFilterSw,control:BooleanPoint,""true {alarm,unackedAlarm}"","
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,HiPress1Sw,control:BooleanPoint,true {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,AirFlwSw,control:BooleanPoint,true {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,Ret.ExhFanWrn,control:BooleanPoint,false {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,DuctHiLmtSw,control:BooleanPoint,true {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,EmergencyOffSw,control:BooleanPoint,true {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,ReheatCapacity,control:NumericPoint,0.00 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,Inputs,OAFlow,control:NumericPoint,121.80 {ok},"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,SetPoints,UnoccCoolSetpt,control:NumericWritable,85.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,SetPoints,UnoccHeatSetpt,control:NumericWritable,65.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,SetPoints,OccCoolSP,control:NumericWritable,75.00 {overridden} @ 8,"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,SetPoints,OccHeatSP,control:NumericWritable,68.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,SetPoints,DAClgSetpt,control:NumericWritable,55.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,SetPoints,DefaultDATClgSetpt,control:NumericWritable,55.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,SetPoints,DefaultDATHtgSetpt,control:NumericWritable,120.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,SetPoints,DAHtgSetpt,control:NumericWritable,100.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,SetPoints,HumiditySP,control:NumericWritable,50.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk1,RTU1_Cafe,,,SetPoints,EmergOverride,control:EnumWritable,Normal {ok} @ def,"
