"StationName,CliftonSchool_14"
"Type,Network,Trunk,Device,Address,DeviceType,PointFolder,PointName,PointType,Value,Status"
"Device,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,1000:03,device:100003 config,,,,,"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,DaTemp,control:NumericPoint,73.57 {unackedAlarm} alarmInhibit,"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,SpaceTemp,control:NumericPoint,71.01 {unackedAlarm},"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,SpaceHumidity,control:NumericPoint,37.39 {ok},"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,SpaceCO2,control:NumericPoint,402.00 {unackedAlarm},"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,SupplyFanSts,control:BooleanPoint,false {unackedAlarm},"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,FrzStat,control:BooleanPoint,false {unackedAlarm},"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,CFSAlm,control:BooleanPoint,false {unackedAlarm},"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,GpsSts,control:BooleanPoint,true {ok},"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,HighAlmSp,kitControl:NumericSwitch,85.00 {ok},"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,Add,kitControl:Add,88.00 {ok},"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,Subtract,kitControl:Subtract,62.00 {ok},"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,SpaceTempAlmEnabOfst,control:NumericWritable,3.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,SpaceTempAlmDsblDb,control:NumericWritable,2.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,LowAlmSp,kitControl:NumericSwitch,65.00 {ok},"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,Not,kitControl:Not,true {ok},"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,DaTempHiAlmSp,control:NumericWritable,100.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,DaTempLoAlmSp,control:NumericWritable,45.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,DaTempAlmDsblDb,control:NumericWritable,3.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Inputs,DxCallForFan,control:BooleanPoint,false {ok},"
"Point,BacnetNetwork,MstpTrunk1,UV_RM100_FTR_EF,,,Outputs,SFLowSpdCmd,control:BooleanPoint,false {ok},"
