"StationName,Clifton_BOE_Schools17",,,,,,,,
"Type,Network,Trunk,Device,Address,DeviceType,PointFolder,PointName,PointType,Value,Status",,,,,,,,
"Device,BacnetNetwork,,HWP_1_VFD,1900:7c,bacnet:BacnetDevice,,,,,",,,,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,RUN.STOP","ACT,Proxy","Ext,bacnet:BacnetBooleanProxyExt,false,""{fault,down}""",,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,RUN.STOP","ACT,BooleanCov,history:BooleanCovHistoryExt,N/A,{ok}",,,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,FAULT","ACT,Proxy","Ext,bacnet:BacnetBooleanProxyExt,false,""{fault,down}""",,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,FAULT","ACT,BooleanCov,history:BooleanCovHistoryExt,N/A,{ok}",,,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,HAND.AUTO","ACT,Proxy","Ext,bacnet:BacnetBooleanProxyExt,false,""{fault,down}""",,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,HAND.AUTO","ACT,BooleanCov,history:BooleanCovHistoryExt,N/A,{ok}",,,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,ALARM","ACT,Proxy","Ext,bacnet:BacnetBooleanProxyExt,false,""{fault,down}""",,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,ALARM","ACT,BooleanCov,history:BooleanCovHistoryExt,N/A,{ok}",,,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,SPEED","SIGNAL,Proxy","Ext,bacnet:BacnetNumericProxyExt,100.00,""{fault,down}""",,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,SPEED","SIGNAL,NumericInterval,history:NumericIntervalHistoryExt,N/A,{ok}",,,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,OUTPUT","SPEED,Proxy","Ext,bacnet:BacnetNumericProxyExt,0.00,""{fault,down}""",,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,OUTPUT","SPEED,NumericInterval,history:NumericIntervalHistoryExt,N/A,{ok}",,,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,OUTPUT","FREQ,Proxy","Ext,bacnet:BacnetNumericProxyExt,0.00,""{fault,down}""",,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,OUTPUT","FREQ,NumericInterval,history:NumericIntervalHistoryExt,N/A,{ok}",,,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,OUTPUT","VOLT,Proxy","Ext,bacnet:BacnetNumericProxyExt,0.00,""{down,stale}""",,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,CURRENT,Proxy","Ext,bacnet:BacnetNumericProxyExt,0.00,""{fault,down}""",,,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,CURRENT,NumericInterval,history:NumericIntervalHistoryExt,N/A,{ok}",,,,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,TORQUE,Proxy","Ext,bacnet:BacnetNumericProxyExt,0.00,""{down,stale}""",,,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,POWER,Proxy","Ext,bacnet:BacnetNumericProxyExt,0.00,""{down,stale}""",,,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,KWH","(R),Proxy","Ext,bacnet:BacnetNumericProxyExt,19119.00,""{fault,down}""",,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,KWH","(R),NumericInterval,history:NumericIntervalHistoryExt,N/A,{ok}",,,,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,RUN",TIME,"(R),Proxy","Ext,bacnet:BacnetNumericProxyExt,6893.00,""{fault,down}""",,,,,
"Point,BacnetNetwork,,HWP_1_VFD,,,RUN",TIME,"(R),NumericInterval,history:NumericIntervalHistoryExt,N/A,{ok}",,,,,,
"Device,BacnetNetwork,,HWP_2_VFD,1900:7d,bacnet:BacnetDevice,,,,,",,,,,,,,
"Point,BacnetNetwork,,HWP_2_VFD,,,RUN.STOP","ACT,Proxy","Ext,bacnet:BacnetBooleanProxyExt,false,{down}",,,,,,
"Point,BacnetNetwork,,HWP_2_VFD,,,RUN.STOP","ACT,BooleanCov,history:BooleanCovHistoryExt,N/A,{ok}",,,,,,,
"Point,BacnetNetwork,,HWP_2_VFD,,,FAULT","ACT,Proxy","Ext,bacnet:BacnetBooleanProxyExt,false,{down}",,,,,,
"Point,BacnetNetwork,,HWP_2_VFD,,,FAULT","ACT,BooleanCov,history:BooleanCovHistoryExt,N/A,{ok}",,,,,,,
"Point,BacnetNetwork,,HWP_2_VFD,,,HAND.AUTO","ACT,Proxy","Ext,bacnet:BacnetBooleanProxyExt,true,{down}",,,,,,
"Point,BacnetNetwork,,HWP_2_VFD,,,HAND.AUTO","ACT,BooleanCov,history:BooleanCovHistoryExt,N/A,{ok}",,,,,,,
"Point,BacnetNetwork,,HWP_2_VFD,,,ALARM","ACT,Proxy","Ext,bacnet:BacnetBooleanProxyExt,false,{down}",,,,,,
